"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"29 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","96951.00","97975.00","96817.00","97261.00","97706.00","11","11.000 GRMS ","1069.56","42"
"28 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97800.00","98000.00","97325.00","97706.00","97338.00","9","9.000 GRMS ","879.35","39"
"27 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97825.00","97825.00","97250.00","97338.00","98102.00","12","12.000 GRMS ","1168.91","41"
"26 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98349.00","98349.00","97856.00","98102.00","99181.00","5","5.000 GRMS ","490.51","39"
"23 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","","","","98046.00","98046.00","0","0.000 GRMS ","0.00","37"
"22 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98471.00","98471.00","97758.00","98046.00","97789.00","11","11.000 GRMS ","1078.93","37"
"21 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","97825.00","97890.00","97682.00","97789.00","96100.00","5","5.000 GRMS ","488.94","35"
"20 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","95455.00","96100.00","95381.00","96100.00","95742.00","24","24.000 GRMS ","2301.30","36"
"19 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","","","","94918.00","94918.00","0","0.000 GRMS ","0.00","21"
"16 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","95367.00","95367.00","94420.00","94918.00","94188.00","7","7.000 GRMS ","664.42","21"
"15 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","93840.00","95288.00","93607.00","94188.00","94622.00","9","9.000 GRMS ","847.69","21"
"14 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","94622.00","94622.00","94622.00","94622.00","96019.00","1","1.000 GRMS ","94.62","20"
"13 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","95961.00","96179.00","95796.00","96019.00","95992.00","4","4.000 GRMS ","384.08","19"
"12 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","96405.00","96452.00","95581.00","95992.00","98537.00","6","6.000 GRMS ","575.95","19"
"09 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98465.00","98771.00","98422.00","98537.00","98947.00","4","4.000 GRMS ","394.15","17"
"08 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","99457.00","99457.00","98400.00","98947.00","99210.00","5","5.000 GRMS ","494.74","15"
"07 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98703.00","99371.00","98703.00","99210.00","99305.00","10","10.000 GRMS ","992.10","14"
"06 May 2025","FUTCOM","GOLD         ","05DEC2025","-","0.00","98247.00","99673.00","98247.00","99305.00","96777.00","4","4.000 GRMS ","397.22","10"
